Ref Des / Part Name,used,Type,Pin Number,Description
SER20,,Serial,RC4,RC4/ SO on MAX6674 T/C chip/ Manual input to TR-A20 or TR-B20
TR-A20,,FET,RC4,FET TR-A20 SMD
TR-B20,,FET,RC4,FET TR-B20 TO-220
X4-10,,Connector/Terminal,RC4,RC4/ SO on MAX6674 T/C chip/ Manual input to TR-A20 or TR-B20.
FBD19,,Diode,RC5,Fly back diode for corresponding transistor A19 or B19.
FUSE10A-B19,,fuse,RC5,FUSE10A use with TR-B19
LED19,,LED,RC5,Output indicator for TR-A19 or TR-B19.
LEDR19,,LED Resistor,RC5,LED resistor for TR-A19 or TR-B19.
OUTPUT2-7,,Output/Terminal,RC5,Low side drive power out.
OUTPUT2-8,,Output/Terminal,RC5,TR-A19 or TR-B19 FET low side drive.
PDR19,,Resistor,RC5,RC5/ Manual input to TR-A19 or TR-B19
Polyfuse-A19,,fuse,RC5,Polyfuse
PUOR19,,Resistor,RC5,Pull up output resistor for A19 or B19.
PUR19,,Resistor,RC5,RC5/ Manual input to TR-A19 or TR-B19
SER19,,Serial,RC5,RC5/ Manual input to TR-A19 or TR-B19
TR-A19,,FET,RC5,FET TR-A19 SMD
TR-B19,,FET,RC5,FET TR-B19 TO-220
X4-9,,Connector/Terminal,RC5,RC5/ Manual input to TR-A19 or TR-B19.
SER9,0,Serial,RC6,RC6/ jumper connection C6SER to use SERIAL jumper
X3-9,yes,Connector/Terminal,RC6,ESP8266 TX/RX Connection
C6SER,,solder bridge,RC6,use for connecting RC6 to SERIAL out
C9,,Capacitor,RC6,RC6/ jumper connection C6SER to use SERIAL jumper
PUR9,,Resistor,RC6,RC6/ jumper connection C6SER to use SERIAL jumper
SERINV,yes,solder bridge,RC6/RB4,Do not populate to invert the logic out using TR-A111
TR-A111,,Transistor/Part,RC6/RB4,MOSFET to invert TTL serial output via C6 or B4 depending on which jumper is soldered.
SER10,0,Serial,RC7,RC7/ R1out MAX232
X3-10,yes,Connector/Terminal,RC7,RC7/ R1out MAX232.
C10,,Capacitor,RC7,RC7/ R1out MAX232
PUR10,,Resistor,RC7,RC7/ R1out MAX232
Polyfuse Extra,0.9,fuse,to extra voltage regulator,
Polyfuse Main,,fuse,to main voltage regulator,
